table_id|column_id|label_id|label|column_data
dataset/Dataset/data/8351978/table_0|4|133|ссылка|[# 1] [# 1] [# 1] [# 2] [# 2] [# 2] [# 2] [# 2] [# 3] [# 3] [# 3] [# 3] [# 3] 
dataset/Dataset/data/7868542/table_1|2|133|ссылка|1 2 1 7 1 1 2 8 10 28 
dataset/Dataset/data/1861273/table_0|3|133|ссылка|             (недоступная ссылка)                                                                      (нем.)  (недоступная ссылка)  (нем.)                       (недоступная ссылка)       (фр.)       http://prognoz.postimees.ee/3450377/v-botanicheskom-sadu-v-avstralii-zacvel-redkij-trupnyj-cvetok  
dataset/Dataset/data/4499460/table_0|2|133|ссылка|https://www.google.com https://www.google.ac https://www.google.ad http://www.google.ae https://www.google.com.af https://www.google.com.ag http://www.google.com.ai http://www.google.al http://www.google.am http://www.google.co.ao http://www.google.com.ar http://www.google.as https://www.google.at http://www.google.com.au http://www.google.az http://www.google.ba http://www.google.com.bd http://www.google.be http://www.google.bf http://www.google.bg http://www.google.com.bh http://www.google.bi http://www.google.bj http://www.google.com.bn https://www.google.com.bo http://www.google.com.br http://www.google.bs http://www.google.co.bw http://www.google.by/ http://www.google.com.bz http://www.google.ca http://www.google.cc http://www.google.cd http://www.google.cf http://www.google.cat http://www.google.cg https://web.archive.org/web/20090524211657/http://www.google.ch/ http://www.google.ci http://www.google.co.ck http://www.google.cl http://www.google.cm http://www.google.cn http://www.g.cn http://www.google.com.co http://www.google.co.cr http://www.google.com.cu http://www.google.cv http://www.google.com.cy http://www.google.cz http://www.google.de/ http://www.google.dj http://www.google.dk http://www.google.dm http://www.google.com.do http://www.google.dz http://www.google.com.ec http://www.google.ee http://www.google.com.eg http://www.google.es http://www.google.com.et http://www.google.fi http://www.google.com.fj http://www.google.fm http://www.google.fr http://www.google.ga http://www.google.ge http://www.google.gf http://www.google.gg http://www.google.com.gh http://www.google.com.gi http://www.google.gl http://www.google.gm http://www.google.gp http://www.google.gr http://www.google.com.gt http://www.google.gy http://www.google.com.hk http://www.google.hn http://www.google.hr http://www.google.ht http://www.google.hu http://www.google.co.id http://www.google.iq http://www.google.ie http://www.google.co.il http://www.google.im http://www.google.co.in http://www.google.io (недоступная ссылка) http://www.google.is http://www.google.it http://www.google.je http://www.google.com.jm http://www.google.jo http://www.google.co.jp http://www.google.co.ke http://www.google.com.kh http://www.google.ki http://www.google.kg http://www.google.co.kr http://www.google.com.kw http://www.google.kz http://www.google.la http://www.google.com.lb https://web.archive.org/web/20090524210326/http://www.google.li/ http://www.google.lk http://www.google.co.ls http://www.google.lt https://web.archive.org/web/20090526163015/http://www.google.lu/ http://www.google.lv http://www.google.com.ly http://www.google.co.ma http://www.google.md http://www.google.me http://www.google.mg http://www.google.mk http://www.google.ml http://www.google.com.mm http://www.google.mn http://www.google.ms http://www.google.com.mt http://www.google.mu http://www.google.mv http://www.google.mw http://www.google.com.mx http://www.google.com.my http://www.google.co.mz http://www.google.com.na http://www.google.ne http://www.google.com.nf http://www.google.com.ng http://www.google.com.ni http://www.google.nl http://www.google.no http://www.google.com.np http://www.google.nr http://www.google.nu http://www.google.co.nz http://www.google.com.om http://www.google.com.pa http://www.google.com.pe http://www.google.com.ph http://www.google.com.pk http://www.google.pl http://www.google.com.pg http://www.google.pn http://www.google.com.pr http://www.google.ps http://www.google.pt http://www.google.com.py http://www.google.com.qa http://www.google.ro http://www.google.rs http://www.google.ru http://www.google.rw http://www.google.com.sa http://www.google.com.sb http://www.google.sc http://www.google.se http://www.google.com.sg http://www.google.sh http://www.google.si http://www.google.sk http://www.google.com.sl http://www.google.sn http://www.google.sm http://www.google.so http://www.google.st http://www.google.com.sv http://www.google.td http://www.google.tg http://www.google.co.th http://www.google.com.tj http://www.google.tk http://www.google.tl http://www.google.tm http://www.google.to http://www.google.com.tn http://www.google.com.tr http://www.google.tt http://www.google.com.tw http://www.google.co.tz http://www.google.com.ua http://www.google.co.ug http://www.google.co.uk http://www.google.us http://www.google.com.uy http://www.google.co.uz http://www.google.com.vc http://www.google.co.ve http://www.google.vg http://www.google.co.vi http://www.google.com.vn http://www.google.vu http://www.google.ws http://www.google.co.za http://www.google.co.zm http://www.google.co.zw 
dataset/Dataset/data/1576587/table_1|6|133|ссылка|D&DMAL TECMAL 
dataset/Dataset/data/4178138/table_1|5|133|ссылка|Видео Видео Видео Видео Видео Видео 
dataset/Dataset/data/7719964/table_0|5|133|ссылка|http://www.imu.edu.cn/ http://www.imust.edu.cn/ http://www.imut.edu.cn/ http://www.imau.edu.cn/ http://www.immu.edu.cn/ http://www.imnu.edu.cn/ http://www.imun.edu.cn/ http://www.cfxy.cn/ http://www.imufe.edu.cn/ http://www.imac.edu.cn http://www.oit.edu.cn/ 
dataset/Dataset/data/7790380/table_0|5|133|ссылка|Не финал Вечером в пятницу Целовать другого Твоє місто Тримай Мене Ми сховаємось Нехай Буде Сніг! Долонями Чому My Road Все Буде Добре 
dataset/Dataset/data/2595246/table_0|8|133|ссылка| (недоступная ссылка)   Архивная копия от 22 октября 2008 на Wayback Machine        Архивная копия от 8 января 2008 на Wayback Machine             Архивная копия от 8 января 2008 на Wayback Machine  (недоступная ссылка)  
dataset/Dataset/data/1865529/table_1|4|133|ссылка|Сайт организации 
